[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/30625_MEC_M_062_N_32209_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	9:56:11

[MS Spectrum]
# of Peaks	809
Raw Spectrum	[1.883->2.808],(scan:[227->338])
Background	No Background Spectrum
Base Peak	m/z 227.21 (Inten : 159,043)
m/z	Absolute Intensity	Relative Intensity
32.5982	11891	1.9815
32.6982	11891	1.9815
32.7982	11891	1.9815
32.8982	11891	1.9815
32.9982	11868	1.9777
33.0982	11891	1.9815
33.1982	11914	1.9854
33.2982	11960	1.9930
33.3982	11983	1.9969
33.4982	11983	1.9969
33.5982	11960	1.9930
33.6982	11937	1.9892
33.7982	11914	1.9854
33.8982	11891	1.9815
33.9982	11868	1.9777
34.0982	11868	1.9777
34.1982	11868	1.9777
34.2982	11891	1.9815
34.3982	11891	1.9815
34.4982	11914	1.9854
34.5982	11891	1.9815
34.6982	11891	1.9815
34.7982	11868	1.9777
34.8982	11868	1.9777
34.9982	11868	1.9777
35.0982	11891	1.9815
